,arsno,bstopid,bstopnm,gpsx,gpsy,stoptype
603,05007,171900302,미진마트,129.035565,35.1519866667,일반
604,05008,172470401,청수탕,129.035095,35.169885,일반
606,05010,164370201,부전역,129.0621466667,35.162235,일반
607,05011,164820301,양정역6번출구,129.073044535131,35.173742698137,일반
608,05014,164000201,양정역4번출구,129.072386501826,35.173241094304,일반
609,05017,164000501,백조아파트,129.06983,35.1736533333,일반
611,05023,164190101,양정대원칸타빌,129.067642961143,35.170664638396,일반
612,05025,172180401,국제백양아파트,129.027704806832,35.168392439705,일반
614,05027,164010301,하마정,129.0673783333,35.1742883333,일반
616,05029,164030101,양정현대아파트,129.065270163095,35.174571662698,일반
617,05030,164030301,정묘사,129.061503,35.17448,일반
619,05032,164030302,화인아파트,129.05919,35.17186,일반
621,05034,164040201,부산시민공원,129.0563598515,35.171119529,일반
622,05035,171720202,국립부산국악원,129.054895657776,35.171647258278,일반
623,05036,172480301,성의신용협동조합,129.055030606,35.1738989807,일반
625,05038,171720302,부산진고교,129.0536794828,35.1783249295,일반
627,05040,171710301,초읍초등학교,129.051346845,35.1805459548,일반
629,05042,171690301,어린이대공원입구,129.0471176478,35.1811369596,일반
631,05044,171690302,삼광사입구,129.0480443005,35.1776927087,일반
633,05046,171690303,성곡시장입구,129.0487730789,35.1750094791,일반
634,05047,171690304,성곡시장,129.04908790527,35.173887071424,일반
636,05050,172100501,부산시설공단,129.049928968,35.1716335826,일반
637,05051,171660101,LG디스커버리랩,129.0501223484,35.1696241073,일반
638,05052,172480201,연지일동아파트,129.05219,35.1699,일반
640,05054,172500201,부암고가교,129.049845,35.16773,일반
642,05056,172500301,동원아파트.협성휴포레,129.0481916667,35.1664233333,일반
643,05057,172370102,동원아파트,129.0483716667,35.1663816667,일반
644,05058,172500302,부암새고개,129.0457166667,35.1659666667,일반
646,05060,172690101,동의대학교입구.동의대역,129.031235,35.153645,일반
647,05061,193500303,시민도서관,129.050615929932,35.183126044172,일반
648,05062,172370301,당감시장,129.041243822923,35.166043429221,일반
650,05064,164620301,네오스포,129.053985036883,35.153065581143,일반
651,05066,165240301,협성피닉스,129.0386166667,35.170065,일반
653,05068,165250301,부암3동주민센터,129.039562784197,35.168665144322,일반
656,05071,171980301,늘푸른교회,129.0364716667,35.1700866667,일반
657,05074,172140501,용사촌입구,129.033740275117,35.1711852902,일반
659,05077,172410301,백양터널,129.024862,35.171365,일반
660,05078,172160401,당감백산아파트,129.0329366667,35.1692383333,일반
661,05079,172690302,가야전신전화국,129.02877166849,35.153659928212,일반
663,05081,172780101,당감동,129.03596,35.16856,일반
664,05082,172450301,부산진구생활문화센터,129.036835,35.167715,일반
665,05083,171880201,화승삼성아파트,129.038745122922,35.166714024157,일반
667,05085,172370302,당감사거리,129.039664264215,35.165679592625,일반
669,05087,172650301,당감초등학교,129.039665,35.1634166667,일반
671,05089,172220101,태을의원,129.03863,35.1653633333,일반
672,05090,172570301,당감4동,129.0378283333,35.1653266667,일반
673,05092,172220301,개성고등학교입구,129.0342166667,35.16498,일반
675,05094,172360301,백양로교회앞,129.0313683333,35.1643033333,일반
677,05096,172180402,개원초등학교,129.0288,35.1662483333,일반
678,05097,172600101,국제프라자아파트,129.027540943501,35.167632877823,일반
680,05101,171940301,개금주공아파트,129.030528283432,35.159007894209,일반
681,05102,171940302,개포초등학교,129.028294275425,35.158460379242,일반
682,05103,172050201,한국신발관,129.0257474565,35.1578547776,일반
683,05104,172070201,개금3동주민센터,129.0229081116,35.1560772865,일반
684,05106,172060301,신개금엘지아파트,129.019483407998,35.154862492433,일반
686,05108,173130301,개금역.개금초등학교,129.020885016,35.1542445835,일반
688,05110,194660301,냉정고개,129.0154336264,35.151767892,일반
691,05113,172310301,개금역,129.020177661747,35.152237759574,일반
693,05115,172110303,개금1치안센터,129.02111,35.1504016667,일반
695,05117,172270301,백병원입구,129.019877310945,35.148298275356,일반
696,05118,172790201,주례여자고등학교,129.016406098056,35.147829818145,일반
697,05119,194590201,개금시장,129.0172633333,35.1482133333,일반
699,05123,165260201,벽산아파트,129.0234433333,35.147705,일반
701,05126,165260101,진성아파트,129.0265766667,35.14869,일반
703,05128,172020101,가야공원입구,129.028865,35.1477366667,일반
705,05130,172550101,가야고교,129.0311966667,35.1477116667,일반
707,05132,172520201,가야여중,129.03466,35.14788,일반
709,05134,172910201,가남시장,129.0345066667,35.1496316667,일반
715,05140,172120203,가야2동새마을금고,129.0294333333,35.1510566667,일반
717,05142,172120201,골목시장,129.024965,35.1509916667,일반
719,05144,173150101,개금삼거리,129.025623,35.153019,일반
727,05152,172560101,당평초등학교,129.034927507373,35.15973684959,일반
729,05154,172250101,당감1치안센터,129.0427896996,35.1620217404,일반
731,05156,172240101,진양교차로,129.0466207843,35.1623497981,일반
734,05159,172340101,부암초등학교,129.0503032356,35.162958307,일반
736,05161,172100301,부암교차로,129.0501465753,35.1668189924,일반
737,05162,171860201,삼부아파트,129.0506055081,35.1662915622,일반
740,05165,171960201,부산진구청,129.054383672376,35.163542302043,일반
741,05166,171960401,부산진구청.시민공원남1문,129.0537958745,35.1644476182,일반
742,05168,172620102,부산진중학교,129.055460742071,35.164467524424,일반
743,05169,172620101,부산시민공원남문,129.058242885528,35.165575162684,일반
744,05171,164470201,동해선부전역,129.062360487868,35.164570518519,일반
747,05186,164420501,부전시장입구,129.058269942891,35.159026185697,일반
